This file was created using the 202510 CRSP database.,,,,,,
It contains value- and equal-weighted returns for portfolios formed on ME and BEME.,,,,,,
,,,,,,
The portfolios are constructed at the end of June.  BEME is book value at the last fiscal year end of the prior calendar year,,,,,,
divided by ME at the end of December of the prior year.,,,,,,
Annual returns are from January to December.,,,,,,
,,,,,,
Missing data are indicated by -99.99 or -999.,,,,,,
,,,,,,
The break points include utilities and include financials,,,,,,
,,,,,,
The  portfolios  include utilities and include financials.,,,,,,
,,,,,,
,,,,,,
  Average Value Weighted Returns -- Monthly,,,,,,
,SMALL LoBM,ME1 BM2,SMALL HiBM,BIG LoBM,ME2 BM2,BIG HiBM
192607,1.0866,0.8807,-0.1275,5.5746,1.906,2.0068
192608,0.7831,1.4677,5.4422,2.7268,2.7028,5.6834
192609,-2.8045,-0.0599,-0.4399,1.4777,0.0954,-0.7872
192610,-4.0289,-4.3615,-2.0128,-3.6327,-2.3451,-4.004
192611,3.2971,3.6237,2.0877,3.212,2.9346,3.1964
192612,2.5645,1.7773,3.27,2.9011,2.621,2.3073
192701,-0.8099,-0.2885,3.9875,-0.2624,0.034,4.092
192702,3.9809,6.3754,6.4416,5.0212,3.5906,7.9905
192703,-2.2271,-1.0076,-3.1144,1.2856,0.2556,-2.5905
192704,-1.3839,0.8706,3.4837,3.0757,-0.7711,-0.4894
192705,5.4624,3.3109,13.4556,5.4126,5.1423,7.0141
192706,-1.7163,1.3233,-4.089,-0.9667,-3.0033,-2.0282
192707,4.2604,5.2595,4.0181,9.2715,6.8071,7.2634
192708,2.4876,-2.3003,0.7332,4.0055,1.1524,-1.9351
192709,2.2005,2.2367,0.3714,5.2451,4.4202,5.9339
192710,-0.2054,-2.1686,-6.0935,-3.5692,-4.3578,-6.6283
192711,10.2824,7.9528,10.4641,6.9718,6.7451,6.6385
192712,5.6729,2.665,2.4534,2.501,1.8708,3.4734
192801,3.1432,2.6832,3.6043,-0.4407,-0.4021,-2.3184
192802,-4.8779,-1.7699,-4.1263,-0.675,-1.2169,-2.7041
192803,6.9742,8.6296,9.4431,12.363,6.1449,7.6792
192804,5.0264,10.7789,9.9758,2.9356,5.9428,4.4954
192805,6.6955,1.9725,2.6118,2.5704,-0.0445,0.6499
192806,-9.1736,-8.5169,-6.799,-3.6356,-4.1275,-5.4462
192807,-0.4122,-0.3806,-0.9736,1.3622,0.1242,0.8343
192808,6.1265,5.0112,3.7666,8.7594,5.4024,6.8627
192809,5.7391,4.4691,6.1849,3.0057,1.9523,4.2356
192810,6.8433,3.1403,1.6663,1.3103,1.4,2.2058
192811,8.6693,11.1459,12.1856,11.1696,13.3449,12.9533
192812,0.675,-0.7061,-0.5797,0.9715,0.025,1.1951
192901,0.2541,1.9011,1.7793,6.5315,4.8675,2.5744
192902,0.7412,1.1291,0.3953,-0.5723,0.7548,3.0873
192903,-6.2168,-3.3714,-4.3437,-1.3904,2.3223,-0.1211
192904,-0.6478,2.7887,0.7306,2.3256,1.0882,2.8092
192905,-10.2271,-9.4383,-12.8944,-5.8502,-4.1635,-6.2167
192906,6.8989,9.5386,6.456,12.4699,9.3942,7.4366
192907,-0.0599,-0.5054,3.8676,3.6533,6.1852,5.0609
192908,-1.1159,-0.6976,-0.4807,7.2212,12.5055,7.2167
192909,-3.9326,-4.2674,-3.607,-4.4757,-4.9772,-6.3774
192910,-22.9979,-19.6471,-21.2218,-23.8688,-14.5837,-10.5728
