"DATES" "FL734090005.Q" "FL734004005.Q" "FL733061103.Q" "FL733061703.Q" "FL733063003.Q" "FL733068003.Q" "FL733090005.Q" "FL723194733.Q" "FL693194735.Q" "FL733093005.Q" "FL734190005.Q" "FL734110005.Q" "FL734112005.Q" "FL734116205.Q" "FL732150005.Q" "FL734104005.Q" "FL733169103.Q" "FL733163003.Q" "FL733193005.Q"
"197304" 40507 4300 0 0 0 4300 36207 25000 4334 6873 12015 -2500 0 -2500 0 9959 4881 5078 4556
"197401" 43910 4904 0 0 0 4904 39006 27000 4514 7492 12831 -2800 200 -3000 0 11375 6045 5330 4256
"197402" 46372 5372 0 0 0 5372 41000 29000 4542 7458 13656 -2600 400 -3000 0 12561 6952 5609 3695
"197403" 44017 4914 0 0 0 4914 39103 31000 4633 3470 12512 -2900 600 -3500 0 14507 8639 5868 905
"197404" 45770 4901 0 0 0 4901 40869 32000 5001 3868 13093 -2700 800 -3500 0 14392 8332 6060 1401
"197501" 47071 4677 0 0 0 4677 42394 34000 5590 2804 13190 -3000 1000 -4000 0 15049 8954 6095 1141
"197502" 50754 4667 0 0 0 4667 46087 36000 6342 3745 14424 -2700 1300 -4000 0 14674 8791 5883 2450
"197503" 54515 4496 0 0 0 4496 50019 38000 7271 4748 15684 -2400 1600 -4000 0 14631 8798 5833 3453
"197504" 57348 4900 120 330 1050 3400 52448 39000 10800 2648 17348 -3700 -200 -3500 0 18654 8654 10000 2394
"197601" 59512 5100 128 352 1120 3500 54412 40000 11800 2612 18512 -3800 -300 -3500 0 18927 8427 10500 3385
"197602" 61573 5300 136 374 1190 3600 56273 41000 12700 2573 19573 -4000 -400 -3600 0 19008 8008 11000 4565
"197603" 63630 5500 144 396 1260 3700 58130 42000 13700 2430 20630 -4100 -600 -3500 0 19894 7894 12000 4836
"197604" 66313 5836 164 452 1439 3781 60477 43640 14721 2116 21589 -4628 -1028 -3600 0 20698 7859 12839 5519
"197701" 68828 6000 184 506 1610 3700 62828 45000 14600 3228 22828 -4900 -1300 -3600 0 21465 7965 13500 6263
"197702" 70666 6400 208 572 1820 3800 64266 46000 15500 2766 23666 -5300 -1700 -3600 0 22730 8530 14200 6236
"197703" 72598 6800 240 660 2100 3800 65798 47000 16500 2298 24298 -5600 -2000 -3600 0 23715 8915 14800 6183
"197704" 75548 7159 268 737 2344 3810 68389 50148 16293 1948 25717 -6084 -2384 -3700 0 24514 9135 15379 7287
"197801" 77096 7000 240 660 2100 4000 70096 51000 16800 2296 26396 -6700 -2900 -3800 0 25746 10146 15600 7350
"197802" 80323 6900 216 594 1890 4200 73423 52000 19262 2161 28723 -5238 -2728 -2510 0 27827 12027 15800 6134
"197803" 81345 6800 192 528 1680 4400 74545 53000 19724 1821 28845 -5876 -3330 -2546 0 29005 13005 16000 5716
"197804" 84207 6693 165 454 1446 4628 77514 54934 20717 1863 30822 -6400 -3689 -2711 0 32049 15835 16214 5173
"197901" 85855 7000 200 550 1750 4500 78855 56200 20680 1975 31355 -6320 -2935 -3385 0 32535 16435 16100 5140
"197902" 87262 7400 240 660 2100 4400 79862 57400 20686 1776 30562 -6414 -2252 -4162 0 34956 18956 16000 2020
"197903" 90429 7800 280 770 2450 4300 82629 58700 22253 1676 32729 -5347 -2034 -3313 0 36315 20415 15900 1761
"197904" 94172 7952 298 819 2605 4230 86220 60364 24102 1754 35669 -3898 -1998 -1900 0 36142 20382 15760 3425
"198001" 94497 7900 304 836 2660 4100 86597 62000 23977 620 34497 -4723 -1881 -2842 0 38502 22502 16000 718
"198002" 97856 7800 304 836 2660 4000 90056 64000 25195 861 36356 -4305 -1811 -2494 0 38924 22624 16300 1737
"198003" 100092 7800 312 858 2730 3900 92292 66000 25458 834 37092 -4842 -1941 -2901 0 39662 23062 16600 2272
"198004" 103148 7607 312 859 2733 3703 95541 67223 26905 1413 38339 -5963 -1947 -4016 0 42846 25943 16903 1456
"198101" 101736 6400 296 814 2590 2700 95336 70200 21599 3537 35236 -8001 -3881 -4120 0 42467 25767 16700 770
"198102" 103430 6810 291 801 2551 3167 96620 75381 19987 1252 36361 -11259 -4875 -6384 0 46599 28857 17742 1021
"198103" 106803 7350 296 814 2590 3650 99453 80600 16953 1900 39303 -15847 -5905 -9942 0 51309 32609 18700 3841
"198104" 114221 7952 309 849 2702 4092 106269 85938 18388 1943 37152 -17230 -7072 -10158 0 52843 32959 19884 1539
"198201" 112703 6400 232 638 2030 3500 106303 86500 17538 2265 35403 -22262 -9669 -12593 0 54834 34634 20200 2831
"198202" 109253 4832 152 419 1333 2928 104421 87672 14943 1806 31498 -28822 -11312 -17510 0 58621 38016 20605 1699
"198203" 123627 5300 184 506 1610 3000 118327 94900 21537 1890 39627 -23063 -10673 -12390 0 56685 33685 23000 6005
"198204" 134241 5753 216 594 1890 3053 128488 102092 23970 2426 42106 -20919 -8584 -12335 0 60129 34550 25579 2896
"198301" 130572 5350 220 605 1925 2600 125222 100000 24587 635 38572 -24813 -10288 -14525 0 61481 34981 26500 1904
"198302" 131790 5013 222 610 1941 2240 126777 99864 25030 1883 38965 -26028 -11138 -14890 0 63784 35612 28172 1209
"198303" 143746 6050 288 792 2520 2450 137696 108700 25934 3062 43746 -28466 -13355 -15111 0 68658 37158 31500 3554
"198304" 155697 7218 359 988 3145 2726 148479 117550 28055 2874 46311 -31129 -15657 -15472 0 73470 38007 35463 3970
"198401" 153567 6400 328 902 2870 2300 147167 114000 28537 4630 47567 -35463 -17813 -17650 0 72384 41384 31000 10646
"198402" 151288 5844 310 852 2712 1970 145444 111935 30052 3457 48136 -38604 -18414 -20190 0 82631 45904 36727 4109
"198403" 170684 7000 368 1012 3220 2400 163684 124100 35352 4232 57684 -32348 -17047 -15301 0 84025 43025 41000 6007
"198404" 186378 8142 428 1176 3741 2797 178236 136446 37515 4275 63509 -29244 -13186 -16058 0 89526 44140 45386 3227
"198501" 189694 8700 472 1298 4130 2800 180994 137000 39777 4217 65694 -31273 -14176 -17097 0 93638 45638 48000 3329
"198502" 196939 9443 522 1436 4570 2915 187496 138945 44513 4038 70120 -30567 -14158 -16409 0 96826 45596 51230 3861
"198503" 210322 10600 648 1782 5670 2500 199722 145500 50501 3721 79322 -26049 -12447 -13602 0 100557 45557 55000 4814
"198504" 219176 11837 777 2136 6797 2127 207339 152083 51093 4163 81920 -27779 -11217 -16562 0 106156 46380 59776 3543
"198601" 229681 10800 704 1936 6160 2000 218881 156650 56092 6139 93681 -22158 -10823 -11335 0 102361 38361 64000 13478
"198602" 232784 10057 643 1767 5624 2023 222727 160739 54991 6997 96884 -24543 -12027 -12516 0 111264 41715 69549 10163
"198603" 239539 10960 670 1843 5863 2584 228579 163585 58007 6987 100250 -24747 -10671 -14076 0 112672 39435 73237 12325
"198604" 245824 11508 633 1740 5537 3598 234316 168818 59524 5974 103963 -27219 -11935 -15284 0 116813 43125 73688 14369
"198701" 253367 12735 690 1897 6037 4111 240632 174746 58700 7186 107395 -32257 -13779 -18478 0 126585 48749 77836 13067
"198702" 246741 13275 730 2006 6384 4155 233466 162430 64472 6564 114592 -27988 -12498 -15490 0 131540 50292 81248 11040
"198703" 252344 12798 730 2007 6386 3675 239546 169127 62555 7864 114522 -34151 -15415 -18736 0 133699 49390 84309 14974
"198704" 261640 13464 746 2050 6523 4145 248176 172575 68344 7257 124654 -21979 -10160 -11819 0 131079 44601 86478 15554
"198801" 261874 14040 667 1835 5840 5698 247834 173403 67009 7422 124499 -23354 -9540 -13814 0 131819 45052 86767 16034
"198802" 267448 13698 658 1810 5758 5472 253750 181300 65649 6801 124058 -27385 -13500 -13885 0 136996 46742 90254 14447
"198803" 272124 13899 673 1852 5891 5483 258225 189004 62306 6915 123282 -31740 -17819 -13921 0 136283 44788 91495 18739
"198804" 279726 13400 761 2092 6656 3891 266326 193849 65878 6599 126959 -25614 -15538 -10076 0 136241 44403 91838 16332
"198901" 281462 14881 755 2076 6606 5444 266581 198831 60653 7097 124382 -34963 -19604 -15359 0 140028 48091 91937 19317
"198902" 292380 14069 747 2054 6535 4733 278311 203980 67029 7302 130892 -28656 -16817 -11839 0 141246 48350 92896 18302
"198903" 297943 15722 716 1969 6265 6772 282221 202057 72685 7479 137529 -25244 -15810 -9434 0 143969 49533 94436 18804
"198904" 303390 16193 858 2360 7478 5497 287197 202444 75973 8780 140427 -22608 -14325 -8283 -30 142469 48760 93709 20596
"199001" 305453 17431 925 2543 7960 6003 288022 208689 70441 8892 139203 -22205 -14065 -8140 -130 141966 49485 92481 19572
"199002" 301522 14876 753 2070 6358 5695 286646 209675 67857 9114 130362 -21306 -14587 -6719 -230 134343 43211 91132 17555
"199003" 311165 13297 741 2037 6149 4370 297868 210250 67892 19726 138226 -10356 -4655 -5701 -334 122915 36141 86774 26001
"199004" 298443 13424 687 1890 5583 5264 285019 207837 55183 21999 126444 -11226 -3364 -7862 -432 114783 30087 84696 23319
"199101" 300016 12255 686 1887 5339 4343 287761 211534 51486 24741 123436 -9207 -4103 -5104 -664 114421 27743 86678 18886
"199102" 298919 11302 761 2093 4996 3452 287617 213493 47358 26766 117957 -11696 -5222 -6474 -1665 113344 26119 87225 17974
"199103" 300085 11641 1523 1757 5094 3267 288444 220580 46204 21660 116278 -10665 -3654 -7011 -1790 110554 24728 85826 18179
"199104" 302311 11910 1028 2395 5115 3372 290401 227224 40933 22244 114797 -14347 -4056 -10291 -1360 112298 24305 87993 18206
"199201" 307540 13591 3928 1766 4749 3148 293949 222994 36380 34575 112771 -20544 -5699 -14845 -643 115022 24036 90986 18936
"199202" 319001 13121 3874 1589 4907 2751 305880 235783 38865 31232 114659 -16217 -5616 -10601 -1499 112713 22499 90214 19662
"199203" 334583 17468 5492 2314 5441 4221 317115 244025 42405 30685 122712 -14046 -5599 -8447 -1272 114370 22106 92264 23660
"199204" 342764 17515 6144 2199 5446 3726 325249 254976 43235 27038 124366 -10988 -6524 -4464 -1173 114573 20448 94125 21954
"199301" 351537 16387 5489 2183 5382 3333 335150 263214 38231 33705 123727 -16413 -6059 -10354 -725 119855 22719 97136 21010
"199302" 366989 18369 5865 2406 6243 3855 348620 270866 47323 30431 130463 -10753 -4894 -5859 -708 120189 23561 96628 21735
"199303" 373462 18667 5597 2495 7183 3392 354795 279096 45576 30123 129984 -12737 -4915 -7822 -223 120307 22885 97422 22637
"199304" 387905 17475 5319 3096 7164 1896 370430 286615 56280 27535 132192 -10043 -3281 -6762 -752 123368 25641 97727 19619
"199401" 392808 18239 5829 3357 7349 1704 374569 290594 54238 29737 134926 -10351 -3666 -6685 -308 124242 26746 97496 21343
"199402" 393449 18297 4827 3740 7539 2191 375152 292967 47100 35085 131134 -14671 -1709 -12962 -705 126761 28959 97802 19749
"199403" 405895 18962 4837 4229 7859 2037 386933 300410 54015 32508 137176 -11166 -367 -10799 -542 129635 31883 97752 19249
"199404" 414131 18354 4578 4833 7112 1831 395777 304156 56434 35187 143005 -11696 2912 -14608 -939 133625 31577 102048 22015
"199501" 430507 17977 3949 4100 7450 2478 412530 317104 58563 36863 147237 -13137 2850 -15987 -568 137699 31000 106699 23243
"199502" 445980 19294 5632 3911 7522 2229 426686 325930 64597 36159 152654 -14335 2482 -16817 1146 142911 30772 112139 22932
"199503" 458180 16892 3039 4147 7783 1923 441288 337367 63551 40370 156400 -17329 1826 -19155 -385 150334 34066 116268 23780
"199504" 466771 18042 3404 4671 7695 2272 448729 344278 64655 39796 157138 -14920 3537 -18457 -525 148002 30144 117858 24581
"199601" 474174 16758 2793 4733 7338 1894 457416 348443 68177 40796 162381 -4928 14638 -19566 -383 141354 30553 110801 26338
"199602" 490872 18114 2770 4820 8545 1979 472758 361939 71008 39811 167908 -3565 13002 -16567 -416 148422 34437 113985 23467
"199603" 494934 19326 3314 4686 9193 2133 475608 365275 69050 41283 168456 -5282 12744 -18026 -266 149136 33165 115971 24868
"199604" 510818 21960 4025 4930 10527 2478 488858 372883 64912 51063 178252 -7888 14715 -22603 -173 150003 32038 117965 36310
"199701" 523240 22508 3580 4554 12301 2073 500732 387062 72856 40814 190170 -6420 10807 -17227 27 151587 31848 119739 44976
"199702" 543029 23781 2902 5220 13628 2031 519248 399290 75357 44601 199404 -9953 10982 -20935 -114 160488 34357 126131 48983
"199703" 558620 22537 2687 4357 13726 1767 536083 410009 81170 44904 207022 -8586 13346 -21932 -88 163959 34530 129429 51737
"199704" 575301 27399 3971 5505 15485 2438 547902 413622 89884 44396 218789 -7578 14272 -21850 -172 168608 37594 131014 57931
"199801" 609196 31218 2256 8605 17740 2617 577978 430270 99199 48509 240804 -6914 13866 -20780 929 181206 41811 139395 65583
"199802" 640658 26808 1675 5801 16995 2337 613850 445856 116902 51092 259121 -3800 16212 -20012 4703 190517 47990 142527 67701
"199803" 658252 28314 968 6418 18581 2347 629938 459233 121863 48842 270006 1456 19023 -17567 4895 196140 49953 146187 67515
"199804" 685942 26473 913 6633 14784 4143 659469 468964 133989 56516 270619 2655 23918 -21263 353 193486 45409 148077 74125
"199901" 710767 24983 1143 6096 14125 3619 685784 476405 152511 56868 284403 7137 25263 -18126 287 202556 46419 156137 74423
"199902" 726979 25085 1154 4134 15562 4235 701894 473851 166780 61263 296642 15097 26377 -11280 124 205482 48857 156625 75939
"199903" 733992 21997 881 3967 15612 1537 711995 475558 161200 75237 303504 16371 28059 -11688 -145 211821 45562 166259 75457
"199904" 741168 32656 8773 5356 15946 2581 708512 471859 151285 85368 314634 6740 32148 -25408 497 219290 54490 164800 88107
"200001" 758763 22103 922 4749 14567 1865 736660 492055 165035 79570 319587 18605 38384 -19779 706 221364 50765 170599 78912
"200002" 779622 22968 1069 4968 12920 4011 756654 501038 168841 86775 333648 21131 39552 -18421 1167 229283 52443 176840 82067
"200003" 815799 21285 1100 5080 13341 1764 794514 514763 181331 98420 352433 13107 4081 9026 1056 236853 54133 182720 101417
"200004" 841898 20483 835 4808 13193 1647 821415 525439 189700 106276 358706 12937 5808 7129 -1130 242516 55715 186801 104383
"200101" 896432 22296 765 5414 13393 2724 874136 541824 227326 104986 390043 7876 5159 2717 626 266543 63350 203193 114998
"200102" 916234 21605 929 5071 12940 2665 894629 552191 236960 105478 399632 -4771 -10552 5781 742 269015 62653 206362 134646
"200103" 955392 21259 844 5007 12766 2642 934133 577793 245272 111068 420912 6989 -11868 18857 928 272731 62403 210328 140264
"200104" 942423 24653 1200 6218 15290 1945 917770 586102 219477 112191 413406 -2316 -12762 10446 -1213 266096 50602 215494 150839
"200201" 959497 27658 1275 10226 14070 2087 931839 593786 222908 115145 421052 -1170 -23783 22613 990 268973 56457 212516 152259
"200202" 976220 28140 1731 11483 12849 2077 948080 609837 218356 119887 444414 -863 -20402 19539 1015 264178 43443 220735 180084
"200203" 998620 27732 1407 10900 13310 2115 970888 630395 209009 131484 452000 306 -23874 24180 1261 271839 46588 225251 178594
"200204" 1025838 27772 1288 10734 12882 2868 998066 639245 219301 139520 473106 -5341 -16393 11052 1170 286380 48306 238074 190897
"200301" 1057143 32962 1325 11441 17593 2603 1024181 650050 228429 145702 503669 -5732 23088 -28820 6166 302793 44550 258243 200442
"200302" 1105414 42882 2358 10920 22950 6654 1062532 667018 248452 147062 539152 3241 35325 -32084 8768 302651 39577 263074 224492
"200303" 1121707 36355 2986 12217 14315 6837 1085352 679639 255827 149886 545616 5954 38301 -32347 2177 304835 40894 263941 232650
"200304" 1153135 36417 2722 11649 14194 7852 1116718 689759 265013 161946 571522 6296 39378 -33082 2081 321791 42281 279510 241354
"200401" 1218580 36713 2146 12542 13931 8094 1181867 708111 292387 181369 602625 4960 39888 -34928 1222 347487 57087 290400 248956
"200402" 1258961 36134 2403 12895 13462 7374 1222827 738592 302836 181399 616846 6075 37211 -31136 1398 351509 51711 299798 257864
"200403" 1378503 36887 1550 14337 13214 7786 1341616 819413 329102 193101 656751 20487 31941 -11454 1226 366615 52078 314537 268423
"200404" 1428984 36378 1969 13534 15526 5349 1392606 856983 341255 194368 661737 8013 15536 -7523 821 381283 53107 328176 271620
"200501" 1413213 34018 1576 13597 14713 4132 1379195 853312 326033 199850 660587 -16341 8493 -24834 449 403267 59805 343462 273212
"200502" 1461326 41375 2368 12833 23307 2867 1419951 876272 334431 209248 678717 -19627 9210 -28837 2134 408623 57912 350711 287587
"200503" 1482726 29864 2393 11553 12850 3068 1452862 878020 364770 210072 612580 -18247 6071 -24318 1512 421493 63305 358188 207822
"200504" 1523771 32210 1113 11198 11820 8079 1491561 896970 383996 210595 627578 -18529 8617 -27146 636 429513 57139 372374 215958
"200601" 1520491 33914 2657 11948 11672 7637 1486577 914533 351994 220050 637489 -20492 14298 -34790 15 438654 58709 379945 219312
"200602" 1557258 31921 2626 13089 12081 4125 1525337 929733 363016 232588 666750 -25906 26506 -52412 -78 466996 70671 396325 225738
"200603" 1603844 33560 2274 12560 14512 4214 1570284 963020 372056 235208 676344 -34278 29348 -63626 -379 476218 71991 404227 234783
"200604" 1695263 35559 2505 11171 16734 5149 1659704 1006940 406571 246193 756666 -32396 36032 -68428 768 499710 78812 420898 288584
"200701" 1692177 31364 748 12538 14589 3489 1660813 1017932 382183 260698 758052 -39726 34559 -74285 646 520308 82641 437667 276824
"200702" 1733366 30051 825 11551 13954 3721 1703315 1040210 392427 270678 796373 -44226 44566 -88792 727 551473 87076 464397 288399
"200703" 1794024 35412 705 12702 17842 4163 1758612 1086407 389127 283078 821690 -66954 41945 -108899 850 586842 98475 488367 300952
"200704" 1813229 58661 7074 9889 35879 5819 1754568 1133057 343577 277934 868756 -85574 25035 -110609 837 631057 116670 514387 322436
"200801" 1866715 59675 6332 12964 34955 5424 1807040 1158434 352570 296036 891930 -97474 18047 -115521 632 665401 115720 549681 323371
"200802" 1975014 84101 11846 28302 37350 6603 1890913 1148484 378311 364118 982733 -103678 -6695 -96983 437 737931 130294 607637 348043
"200803" 1945838 75026 13650 16622 38843 5911 1870812 1157217 398177 315418 971326 -52503 20373 -72876 -117 674644 115822 558822 349302
"200804" 2013713 72591 3095 25801 35839 7856 1941122 1181286 387374 372462 976675 -152490 -50951 -101539 391 713311 77667 635644 415463
"200901" 2827308 71474 560 21605 31987 17322 2755834 1245398 987745 522691 1524344 -63994 37034 -101028 -27798 1098757 56110 1042647 517379
"200902" 2826559 75470 7033 22354 29506 16577 2751089 1260832 980697 509560 1504011 -87931 35604 -123535 -33585 1102996 51856 1051140 522531
"200903" 2830733 76460 4170 22327 33135 16828 2754273 1320845 934101 499327 1489715 -134847 -871 -133976 -38926 1122690 55592 1067098 540798
"200904" 2751774 75140 5819 24320 30394 14607 2676634 1346277 855821 474536 1438854 -100527 24532 -125059 -47659 1069169 60753 1008416 517871
"201001" 2780828 78705 5793 22562 33620 16730 2702123 1342671 902837 456615 1457466 -95981 36874 -132855 -51400 1068310 73935 994375 536537
"201002" 2807640 62673 5015 22109 17414 18135 2744967 1366953 909810 468204 1437637 -80594 18285 -98879 -58980 1038724 63685 975039 538487
"201003" 2905421 107855 17211 30133 42313 18198 2797566 1387807 935760 473999 1498284 -73849 44497 -118346 -67284 1088860 64350 1024510 550557
