"DATES" "FL634000005.Q" "FL153034005.Q" "FL103034003.Q" "FL113034003.Q" "FL213034003.Q" "FL263034003.Q" "FL513034003.Q" "FL543034003.Q" "FL573034005.Q" "FL223034003.Q" "FL503034003.Q"
"195201" 0 0 0 0 0 0 0 0 0 0 0
"195202" 0 0 0 0 0 0 0 0 0 0 0
"195203" 0 0 0 0 0 0 0 0 0 0 0
"195204" 0 0 0 0 0 0 0 0 0 0 0
"195301" 0 0 0 0 0 0 0 0 0 0 0
"195302" 0 0 0 0 0 0 0 0 0 0 0
"195303" 0 0 0 0 0 0 0 0 0 0 0
"195304" 0 0 0 0 0 0 0 0 0 0 0
"195401" 0 0 0 0 0 0 0 0 0 0 0
"195402" 0 0 0 0 0 0 0 0 0 0 0
"195403" 0 0 0 0 0 0 0 0 0 0 0
"195404" 0 0 0 0 0 0 0 0 0 0 0
"195501" 0 0 0 0 0 0 0 0 0 0 0
"195502" 0 0 0 0 0 0 0 0 0 0 0
"195503" 0 0 0 0 0 0 0 0 0 0 0
"195504" 0 0 0 0 0 0 0 0 0 0 0
"195601" 0 0 0 0 0 0 0 0 0 0 0
"195602" 0 0 0 0 0 0 0 0 0 0 0
"195603" 0 0 0 0 0 0 0 0 0 0 0
"195604" 0 0 0 0 0 0 0 0 0 0 0
"195701" 0 0 0 0 0 0 0 0 0 0 0
"195702" 0 0 0 0 0 0 0 0 0 0 0
"195703" 0 0 0 0 0 0 0 0 0 0 0
"195704" 0 0 0 0 0 0 0 0 0 0 0
"195801" 0 0 0 0 0 0 0 0 0 0 0
"195802" 0 0 0 0 0 0 0 0 0 0 0
"195803" 0 0 0 0 0 0 0 0 0 0 0
"195804" 0 0 0 0 0 0 0 0 0 0 0
"195901" 0 0 0 0 0 0 0 0 0 0 0
"195902" 0 0 0 0 0 0 0 0 0 0 0
"195903" 0 0 0 0 0 0 0 0 0 0 0
"195904" 0 0 0 0 0 0 0 0 0 0 0
"196001" 0 0 0 0 0 0 0 0 0 0 0
"196002" 0 0 0 0 0 0 0 0 0 0 0
"196003" 0 0 0 0 0 0 0 0 0 0 0
"196004" 0 0 0 0 0 0 0 0 0 0 0
"196101" 0 0 0 0 0 0 0 0 0 0 0
"196102" 0 0 0 0 0 0 0 0 0 0 0
"196103" 0 0 0 0 0 0 0 0 0 0 0
"196104" 0 0 0 0 0 0 0 0 0 0 0
"196201" 0 0 0 0 0 0 0 0 0 0 0
"196202" 0 0 0 0 0 0 0 0 0 0 0
"196203" 0 0 0 0 0 0 0 0 0 0 0
"196204" 0 0 0 0 0 0 0 0 0 0 0
"196301" 0 0 0 0 0 0 0 0 0 0 0
"196302" 0 0 0 0 0 0 0 0 0 0 0
"196303" 0 0 0 0 0 0 0 0 0 0 0
"196304" 0 0 0 0 0 0 0 0 0 0 0
"196401" 0 0 0 0 0 0 0 0 0 0 0
"196402" 0 0 0 0 0 0 0 0 0 0 0
"196403" 0 0 0 0 0 0 0 0 0 0 0
"196404" 0 0 0 0 0 0 0 0 0 0 0
"196501" 0 0 0 0 0 0 0 0 0 0 0
"196502" 0 0 0 0 0 0 0 0 0 0 0
