"DATES" "FL634000005.Q" "FL633091003.Q" "FL633020000.Q" "FL633030000.Q" "FL632050000.Q" "FL634004005.Q" "FL633069175.Q" "FL633061100.Q" "FL633061700.Q" "FL633062000.Q" "FL633063003.Q" "FL633093005.Q" "FL634000005.Q"
"195201" 0 0 0 0 0 0 0 0 0 0 0 0 0
"195202" 0 0 0 0 0 0 0 0 0 0 0 0 0
"195203" 0 0 0 0 0 0 0 0 0 0 0 0 0
"195204" 0 0 0 0 0 0 0 0 0 0 0 0 0
"195301" 0 0 0 0 0 0 0 0 0 0 0 0 0
"195302" 0 0 0 0 0 0 0 0 0 0 0 0 0
"195303" 0 0 0 0 0 0 0 0 0 0 0 0 0
"195304" 0 0 0 0 0 0 0 0 0 0 0 0 0
"195401" 0 0 0 0 0 0 0 0 0 0 0 0 0
"195402" 0 0 0 0 0 0 0 0 0 0 0 0 0
"195403" 0 0 0 0 0 0 0 0 0 0 0 0 0
"195404" 0 0 0 0 0 0 0 0 0 0 0 0 0
"195501" 0 0 0 0 0 0 0 0 0 0 0 0 0
"195502" 0 0 0 0 0 0 0 0 0 0 0 0 0
"195503" 0 0 0 0 0 0 0 0 0 0 0 0 0
"195504" 0 0 0 0 0 0 0 0 0 0 0 0 0
"195601" 0 0 0 0 0 0 0 0 0 0 0 0 0
"195602" 0 0 0 0 0 0 0 0 0 0 0 0 0
"195603" 0 0 0 0 0 0 0 0 0 0 0 0 0
"195604" 0 0 0 0 0 0 0 0 0 0 0 0 0
"195701" 0 0 0 0 0 0 0 0 0 0 0 0 0
"195702" 0 0 0 0 0 0 0 0 0 0 0 0 0
"195703" 0 0 0 0 0 0 0 0 0 0 0 0 0
"195704" 0 0 0 0 0 0 0 0 0 0 0 0 0
"195801" 0 0 0 0 0 0 0 0 0 0 0 0 0
"195802" 0 0 0 0 0 0 0 0 0 0 0 0 0
"195803" 0 0 0 0 0 0 0 0 0 0 0 0 0
"195804" 0 0 0 0 0 0 0 0 0 0 0 0 0
"195901" 0 0 0 0 0 0 0 0 0 0 0 0 0
"195902" 0 0 0 0 0 0 0 0 0 0 0 0 0
"195903" 0 0 0 0 0 0 0 0 0 0 0 0 0
"195904" 0 0 0 0 0 0 0 0 0 0 0 0 0
"196001" 0 0 0 0 0 0 0 0 0 0 0 0 0
"196002" 0 0 0 0 0 0 0 0 0 0 0 0 0
"196003" 0 0 0 0 0 0 0 0 0 0 0 0 0
"196004" 0 0 0 0 0 0 0 0 0 0 0 0 0
"196101" 0 0 0 0 0 0 0 0 0 0 0 0 0
"196102" 0 0 0 0 0 0 0 0 0 0 0 0 0
"196103" 0 0 0 0 0 0 0 0 0 0 0 0 0
"196104" 0 0 0 0 0 0 0 0 0 0 0 0 0
"196201" 0 0 0 0 0 0 0 0 0 0 0 0 0
