This file was created using the 202510 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on ME and BEME.

The portfolios are constructed at the end of June.  BEME is book value at the last fiscal year end of the prior calendar year
divided by ME at the end of December of the prior year.
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
,SMALL LoBM,ME1 BM2,SMALL HiBM,BIG LoBM,ME2 BM2,BIG HiBM
192911, -14.6084,  -9.5797, -10.9661, -14.2521, -10.4563,  -7.7931
192912,  -2.7372,  -3.1726,  -1.1822,   3.2379,   0.5554,   1.4058
193001,   6.0309,   9.5193,   8.4726,   7.3577,   3.3456,   2.8546
193002,   1.7589,   1.0717,   4.5687,   3.4688,   1.8817,   1.2148
193003,   8.6803,  11.3312,  10.6873,   6.7576,   8.4208,   5.3549
193004,  -7.0960,  -1.2542,  -3.4819,  -2.3380,  -1.7620,  -6.6843
193005,  -3.6140,  -2.6937,  -2.9869,   0.7015,  -2.2797,  -1.4025
193006, -17.9836, -16.4522, -19.0393, -17.6952, -13.1636, -11.8401
193007,   6.5234,   3.6401,   2.5703,   4.7126,   3.5511,   5.2714
193008,  -3.7811,  -1.6347,  -2.3210,   1.0212,  -0.6697,  -1.6172
193009, -13.7870, -14.7431, -19.5014, -12.6858, -10.9676, -17.1584
193010, -10.4837,  -7.7113, -10.4086,  -9.2327,  -7.2966, -11.4885
193011,   0.6914,  -2.8310,  -2.5025,  -2.1625,  -3.2636,  -6.5961
193012, -10.8555, -10.9677, -17.8435,  -6.0820,  -9.1077, -10.4791
193101,   9.8496,  11.4123,  16.1640,   4.5259,   7.7855,  14.6935
193102,  13.2071,  11.5674,  17.0097,  12.5498,   6.8881,  12.0039
193103,  -4.9114,  -2.9493,  -7.2163,  -4.8312,  -9.8107,  -8.9363
193104, -12.4275, -13.9744, -18.1804,  -8.8757, -11.2722, -11.7804
193105,  -9.6738,  -8.7632, -13.7160, -11.4137, -16.4047, -19.9965
193106,  10.2668,   7.9061,  21.3688,  13.0888,  16.1056,  25.3831
193107,  -8.5590,  -8.9730,  -5.7544,  -5.1825, -10.1981, -12.3846
193108,  -1.5999,  -1.1533,  -3.7563,   1.3018,  -1.6208,   0.0541
193109, -27.7413, -32.0012, -35.3242, -28.2664, -28.5717, -35.1664
193110,   4.2645,  11.6926,   8.1969,   9.5099,   3.6458,  11.8243
193111,  -7.6486,  -7.1299,  -9.5721,  -6.1082, -16.8822, -14.5672
193112, -13.8714, -16.7282, -23.2010, -11.6452, -18.8422, -20.6907
193201,   2.5019,   3.9818,  11.9357,  -3.4061,   1.9521,   6.6353
193202,  -2.2855,   2.3695,   1.5241,   7.1009,   1.6751,   0.3533
193203, -10.8784, -12.1287, -10.7780, -10.2819, -15.1175, -14.7818
193204, -19.6671, -17.2167, -16.0788, -18.1535, -20.0111, -17.5944
193205, -15.9978, -24.7686, -17.8429, -19.2931, -26.3287, -25.6041
193206,   0.8523,   6.0415,   1.9075,  -1.7909,   0.5231,   8.8621
193207,  31.5733,  36.1611,  63.1226,  28.2539,  47.7219,  67.7486
193208,  46.2827,  55.9767,  83.3873,  31.3977,  51.1783,  62.6990
193209,  -1.6408,  -4.9854, -12.4547,  -1.0390,  -6.6252,  -4.9713
193210, -15.8101, -19.5717, -24.1384, -10.7579, -17.6032, -23.3789
193211,  -0.6699,  -8.2902, -13.5787,  -2.7318,  -9.0895, -16.1940
193212,  -6.7798,  -4.2417, -10.3743,   6.8149,   1.3583,  -4.6781
193301,   5.0108,   1.7647,   8.0450,  -0.0191,   2.7765,   9.8765
193302, -17.3890, -18.7834, -20.8620, -15.0058, -16.7840, -17.3652
193303,   6.8123,   6.2287,  15.4219,   0.9500,  10.1819,   6.5204
193304,  40.7794,  55.0767,  56.9113,  33.6857,  52.2845,  57.7461
193305,  59.5683,  61.2364,  72.3588,  17.0277,  26.7011,  41.5667
193306,  32.7150,  23.5369,  18.5855,  11.4087,  15.2261,  22.2653
193307, -14.1822, -12.9067,  -7.2303,  -8.8686, -13.0500,  -9.2208
193308,  10.5690,  10.7847,   8.4113,  10.6043,  15.7659,  18.8615
193309,  -7.6533, -14.1547, -20.8876,  -9.2015, -12.3670, -19.3870
193310,  -8.5144, -12.2961, -14.0569,  -6.3139, -10.6053, -17.7448
193311,   4.4638,   5.0740,   6.1167,   9.8065,  12.2751,  12.6924
193312,   5.0006,   3.6664,  -0.2300,   2.0984,   1.9147,   3.3523
193401,  21.5284,  29.3172,  39.6638,   9.8831,  16.8498,  24.1475
193402,  -0.2803,   1.2724,   4.8488,  -2.3977,  -3.1133,  -3.8113
193403,   4.5460,   2.0763,  -0.0115,  -0.0073,  -0.1257,  -0.6204
193404,   3.1184,  -1.8616,  -1.7047,  -1.7839,  -2.2223,  -4.6232
193405,  -7.3885, -10.0323, -12.0918,  -6.4137,  -8.6543, -13.5106
193406,   3.7446,  -0.1019,  -2.1893,   2.6294,   2.5084,   2.8634
193407, -18.0458, -21.8587, -24.6948,  -8.3220, -11.7435, -23.1877
193408,  10.9241,  10.4600,  11.5686,   6.0711,   4.4520,   5.7691
193409,  -0.9105,  -0.6349,  -3.4840,  -0.2585,  -0.1790,  -0.1050
193410,  -0.9454,  -1.8207,  -3.9835,  -0.4122,  -2.6579,  -7.3683
193411,  17.4233,  15.5321,  12.7483,  10.2560,   4.9943,  10.6573
193412,   4.9397,   2.3358,   1.6042,   0.7547,   0.5328,  -2.2372
193501,  -5.5571,  -3.5011,  -3.0465,  -3.0128,  -2.9030,  -9.0590
193502,  -3.7270,  -4.8077,  -6.3227,  -0.8698,  -1.7076, -13.2262
193503,  -5.9444,  -7.1747, -11.3386,  -3.0811,  -3.3274,  -7.7499
193504,   6.7240,   9.1812,  10.5543,   8.1601,   9.9742,  13.0598
193505,  -2.2606,   2.2542,   1.8154,   3.1254,   4.3322,   3.9559
193506,   5.5938,   6.0268,   0.8390,   6.3747,   5.6069,   8.0813
193507,   9.5111,  13.2494,  13.3415,   7.1893,   6.3232,  16.5222
193508,   3.6266,   8.3004,  14.5514,   2.3022,   2.1973,   3.9550
193509,   5.0702,   5.5139,   0.4703,   4.6782,   0.6687,   1.0452
193510,  11.0823,  10.6544,   6.9368,   6.6053,   7.9845,   6.0823
193511,   6.8488,  10.4071,  19.7932,   3.0299,   5.6031,  14.4767
193512,   5.8212,  10.1247,   1.7938,   2.9772,   5.8162,   8.6613
193601,  10.6847,   7.7370,  23.5566,   3.2972,   9.5391,  12.3330
193602,   2.3171,   6.5379,   5.6394,   1.9178,   2.8034,   7.2650
193603,   0.2298,   2.3986,   0.8801,   2.6070,   0.0482,  -1.2306
193604, -14.1272, -14.0963, -15.5268,  -7.1374,  -8.3511, -10.2999
193605,   5.0607,   5.5381,   8.7363,   5.0582,   5.1120,   6.4847
193606,  -2.1454,  -0.3281,  -1.1537,   3.6373,   2.1446,   0.2592
193607,  10.6157,   7.5798,   9.3731,   5.9186,   6.2246,  12.2299
193608,   0.6504,   2.3874,   4.1959,   0.2938,   0.7746,   4.3381
193609,   2.2060,   5.0395,   4.4692,   0.8290,   1.0643,   0.4526
193610,   3.7236,   6.5239,   6.5179,   6.3806,   8.8091,   8.6113
193611,  10.8582,   9.0589,  12.2081,   3.3668,   3.1551,  -0.4836
193612,   2.1160,   3.4612,   7.5173,  -1.8442,   2.3054,   1.0334
193701,   7.2397,   7.4778,  10.1026,   3.6264,   1.3980,   6.3189
193702,   3.2507,   1.6143,   4.6089,  -0.2105,   0.7914,   6.9870
193703,  -2.9743,   0.0063,   3.3096,  -1.7393,  -0.2171,   6.0555
193704, -10.1352, -11.6490, -13.1058,  -6.8244,  -6.1222, -10.7727
193705,  -0.4307,  -0.9621,  -4.1210,   0.2491,  -0.7170,  -2.9875
193706,  -7.6608,  -7.7820, -10.6147,  -4.1623,  -2.7180,  -7.4491
193707,  10.9525,   9.0410,  10.7982,   9.2041,   7.9659,  10.9747
193708,  -4.6530,  -5.0176,  -5.5971,  -4.2376,  -4.6010,  -7.7857
193709, -20.8956, -21.1072, -23.0745, -12.3680, -12.4198, -19.2962
193710, -10.7922, -10.1158,  -9.7359, -10.1766,  -7.5623, -14.2683
193711, -11.5043, -12.0740, -11.7428,  -8.7911,  -7.7134,  -8.1223
193712, -14.3487, -10.7061, -12.6143,  -4.1614,  -2.9243,  -6.8330
193801,   4.9665,   6.0542,   3.8517,   1.3080,  -0.3240,  -0.6399
193802,   8.4216,   5.7327,   4.8697,   6.3953,   5.3849,   6.0154
193803, -30.1064, -29.1408, -30.4414, -23.6453, -22.5544, -30.5784
193804,  21.8953,  20.6654,  20.8018,  13.8643,  14.4360,  15.8651
193805,  -7.4750,  -7.7358,  -5.5145,  -3.5830,  -3.6945,  -6.0246
193806,  31.2331,  30.6919,  27.6313,  25.7849,  20.9969,  30.1194
193807,  13.4112,  14.4927,  15.5140,   6.7730,   7.3491,   9.2222
193808,  -4.5955,  -5.1147,  -9.4011,  -0.4286,  -6.0541,  -5.1819
193809,  -1.7235,  -2.4939,  -2.7807,   1.3736,   0.6392,  -0.9660
193810,  14.0669,  14.7581,  16.9041,   6.9341,   7.1960,  14.1787
193811,  -5.1989,  -2.6745,  -5.8897,  -1.1594,  -2.0690,  -2.8723
193812,   6.0307,   3.7430,   1.5146,   3.2891,   4.5426,   8.8779
193901,  -8.0522,  -8.9263, -10.1444,  -5.2736,  -6.2209, -11.0153
193902,   3.9053,   5.0704,   6.2924,   3.4364,   3.1005,   6.8950
193903, -17.8458, -18.5273, -22.8623,  -9.8525, -13.7360, -21.3839
193904,  -0.4844,   0.1331,   1.9784,  -0.1303,  -0.0587,  -3.1957
193905,  11.3132,   9.0429,   9.8728,   6.9006,   5.6399,   9.2792
193906,  -6.8685,  -7.9239, -10.6791,  -4.4128,  -6.6245, -11.1578
193907,  15.7596,  16.6937,  13.6007,  11.3239,   8.4513,  13.7348
193908, -12.2845, -12.0093, -12.6408,  -6.3263,  -5.9285, -10.9028
193909,  38.6821,  39.3323,  54.9803,  13.5846,  16.9098,  40.8037
193910,   0.2302,  -0.5695,  -5.0122,   0.0331,  -0.8229,  -4.3089
193911,  -8.1438,  -9.4215, -13.7537,  -2.6436,  -3.6875,  -9.6290
193912,   6.1183,   3.0125,   0.2893,   3.5602,   2.0978,   1.0133
194001,  -4.2286,  -2.1320,  -2.7816,  -2.1582,  -2.5225,  -5.1493
194002,   4.1008,   4.3868,   3.1487,   1.2449,   1.3390,   1.4857
194003,   4.6890,   2.8567,   2.2809,   2.3791,   1.4582,   2.2560
194004,   4.9238,   3.2242,   4.0867,  -0.1285,   0.1228,   0.2658
194005, -27.6797, -27.5193, -32.4369, -22.1156, -20.8742, -24.7936
194006,   3.8806,   5.0074,   7.9796,   4.9671,   8.2268,  10.6333
194007,   4.7274,   4.6641,   3.3197,   3.3885,   3.0495,   3.3044
194008,   2.0525,   3.0652,   1.8740,   2.2197,   1.8048,   3.4978
194009,   5.3788,   4.4405,   5.1994,   3.1575,   1.2086,   1.0578
194010,   4.2102,   5.8212,   6.2991,   0.8956,   6.3562,   8.1008
194011,   1.1169,   0.5214,   0.2185,  -1.9549,  -1.3814,  -0.7351
194012,  -0.9348,  -1.3356,  -2.3194,   0.5886,   1.0039,   0.1915
194101,  -4.4615,  -2.6882,  -0.3185,  -5.0398,  -3.8510,  -1.5270
194102,  -3.4701,  -1.7819,  -2.8938,  -1.5848,  -1.4845,  -0.3844
194103,   0.5101,   1.1110,   3.7770,   0.5411,   1.2101,   3.3749
194104,  -7.5588,  -5.3561,  -5.2124,  -6.5024,  -4.5728,  -2.0337
194105,   1.7473,   0.7035,   1.5397,   0.9382,   2.6200,   2.3589
194106,   4.1120,   6.1834,   8.4665,   6.1766,   5.6163,   3.0391
194107,  10.4420,  10.3034,  18.5092,   3.7275,   8.1813,  10.1336
194108,  -1.1569,  -2.1665,  -0.3921,   0.6964,  -0.8511,  -2.2669
194109,  -3.0744,  -1.7865,  -1.9575,  -0.0150,  -2.2063,  -1.6697
194110,  -5.8864,  -6.3353,  -6.0600,  -6.1004,  -3.3058,  -2.6595
194111,  -1.0166,  -4.1029,  -2.7573,  -2.2947,  -0.5866,  -1.7488
194112,  -5.4901,  -8.0349, -12.7114,  -4.6851,  -3.6309,  -9.3434
194201,   6.7117,  10.5357,  14.4644,  -1.7947,   0.5173,  10.6456
194202,   0.5336,  -1.1038,  -1.6886,  -2.3000,  -2.7974,  -2.3738
194203,  -4.7763,  -3.4602,  -5.7168,  -5.8443,  -7.5737,  -6.1333
194204,  -6.1840,  -3.3645,  -3.7306,  -4.5901,  -4.5034,  -2.8613
194205,   0.1403,   1.6947,   1.6402,   7.4762,   4.9470,   0.6438
194206,   1.0028,   1.3963,   2.1428,   3.0370,   2.5938,   2.7638
194207,   5.1702,   3.7522,   5.1470,   2.6860,   4.3109,   7.5374
194208,   2.2485,   2.7400,   2.4946,   1.7237,   1.7384,   4.1308
194209,   2.1965,   2.7703,   5.9938,   2.6277,   2.8410,   3.6122
194210,   8.2915,   7.5413,  14.5034,   5.3163,   7.8904,  12.0539
194211,  -1.1175,  -2.2617,  -4.0445,   1.0818,   0.2149,  -4.4601
194212,   2.5970,   3.9924,   2.6111,   4.9052,   5.9510,   5.9985
194301,  11.7350,  13.8460,  23.8295,   5.3493,   8.0380,   9.7117
194302,  10.8744,   9.2322,  17.4933,   4.8184,   7.0225,  11.2328
194303,  10.9710,  11.8303,  14.9968,   4.1503,   7.1573,  11.1044
194304,  -0.9483,   2.7049,   8.1682,  -0.1034,   1.2478,   2.5100
194305,   8.8514,   9.1103,  13.2962,   5.0294,   5.7217,   7.1352
194306,  -0.2800,   1.0438,   0.4180,   2.1711,   1.9591,  -0.0172
194307,  -5.1277,  -6.7909,  -8.9051,  -4.7679,  -3.6771,  -5.4549
194308,   0.3461,   0.0382,   0.7072,   1.5066,   1.3008,   0.2128
194309,   2.9559,   3.0689,   5.4039,   2.2011,   2.7425,   2.5910
194310,  -0.7022,  -0.3307,   0.8250,  -1.4437,  -0.9562,   0.3929
194311,  -7.0670,  -7.9847, -10.4323,  -4.7715,  -6.6076,  -9.3915
194312,   7.2611,  10.6602,  11.4105,   5.7228,   6.9515,   7.3717
194401,   4.9585,   4.6723,   5.4614,   0.7827,   1.6214,   4.8693
194402,   1.3605,   0.9574,   0.7064,   0.0547,   0.7890,   2.4061
194403,   2.0084,   3.6982,   7.4552,   2.2054,   2.5657,   3.4509
194404,  -1.9890,  -2.8702,  -3.9171,  -1.3979,  -1.8764,  -1.5816
194405,   5.8190,   7.2524,   7.0596,   4.6226,   5.0258,   5.4497
194406,   9.4222,   9.7507,  10.7165,   4.9468,   5.1983,   7.4249
194407,   0.2066,  -1.0253,  -1.4416,  -1.6610,  -1.4813,  -0.8528
194408,   4.5730,   4.3706,   1.9162,   1.3611,   1.2525,   1.1378
194409,   1.5879,  -0.0610,  -0.2286,   0.3377,  -0.2520,  -0.2382
194410,   0.1856,   0.5492,  -0.5164,  -0.0662,   0.8398,  -0.0870
194411,   0.9604,   2.9643,   3.7232,   1.1655,   2.2605,   3.1652
194412,   6.0185,   6.9037,  10.5409,   2.5205,   4.5209,   9.7420
194501,   5.4093,   5.0069,   4.1166,   0.7429,   3.0380,   3.4039
194502,   6.6638,   8.7848,  10.7095,   5.1535,   6.1550,   9.9773
194503,  -4.6907,  -6.3369,  -6.2843,  -3.2049,  -4.3822,  -4.7571
194504,   7.9296,   9.0881,  10.0659,   6.7617,   8.0320,  10.8404
194505,   2.8195,   2.2140,   4.0736,   2.0171,   1.0507,   1.4366
194506,   3.0388,   2.5204,   6.8558,  -1.2107,   0.7128,   3.5046
194507,  -3.0620,  -3.5636,  -5.4586,  -1.4279,  -1.8197,  -4.4963
194508,   7.7805,   7.8394,   4.9048,   8.6172,   4.4106,   2.6993
194509,   6.6887,   6.7832,   6.4483,   4.5624,   4.4044,   5.7316
194510,   6.0465,   6.6566,   7.2211,   2.3634,   4.9966,   5.4782
194511,   9.3466,   9.7554,  11.5432,   2.8851,   5.8263,   9.3854
194512,   4.1570,   3.1176,   1.6275,   1.7715,   1.1301,  -0.4898
194601,   9.5800,   8.8686,  12.3686,   6.0922,   4.9246,   7.8636
194602,  -6.2379,  -6.7445,  -7.2977,  -5.8929,  -4.9578,  -7.3809
194603,   6.5270,   5.9434,   5.8097,   5.1724,   7.0368,   5.1563
194604,   4.3681,   7.9173,   6.3892,   3.7607,   5.1605,   2.6499
194605,   6.7436,   5.1192,   5.7632,   3.1905,   3.6146,   6.3692
194606,  -4.6967,  -5.1542,  -6.0013,  -4.4173,  -2.6192,  -4.1657
194607,  -4.8254,  -3.3704,  -5.0492,  -2.7272,  -2.3850,  -2.4050
194608,  -8.5074,  -8.3319,  -7.3792,  -6.3460,  -6.2171,  -6.2692
194609, -13.9771, -13.5424, -15.8600,  -9.7824,  -8.4836, -11.8352
194610,  -3.1806,  -0.8271,   0.7456,  -2.5005,  -1.7424,   0.4682
194611,  -1.5773,  -0.6057,   1.4120,  -0.2302,   0.7433,  -0.1681
194612,   5.7141,   4.5301,   4.2294,   5.2864,   5.2391,   3.9581
194701,   4.5316,   2.4720,   3.2543,   2.1742,  -0.4890,   1.9776
194702,  -1.2764,  -0.5775,   0.8545,   0.0512,  -1.3390,  -1.7978
194703,  -3.3614,  -3.4124,  -2.3887,  -1.7947,  -1.0148,  -1.5455
194704,  -9.3474,  -7.9568,  -8.1115,  -5.1354,  -3.6808,  -4.6801
194705,  -5.2168,  -3.9930,  -3.6018,  -1.1080,   0.1931,  -2.0730
194706,   4.3270,   5.2885,   4.9714,   6.4627,   4.5842,   4.5330
194707,   5.2348,   6.4150,   7.0361,   3.5326,   3.4834,   7.2605
194708,  -1.8599,  -1.5161,  -1.1958,  -1.8535,  -1.4540,  -2.2447
194709,   0.4057,   0.3262,   2.6266,  -0.6802,  -0.6544,  -0.1748
194710,   3.5380,   3.3200,   2.9493,   2.2340,   2.9732,   3.0514
194711,  -4.4789,  -3.3645,  -2.6336,  -2.0979,  -1.5045,  -1.7997
194712,   0.1741,   1.4258,   3.0711,   2.0131,   3.4833,   6.5953
194801,  -1.7516,  -2.4568,  -0.1732,  -4.5551,  -4.0164,  -3.3686
194802,  -5.9922,  -6.3452,  -5.8434,  -4.6697,  -3.6891,  -4.7180
194803,   6.4489,   8.3456,  12.2751,   7.8751,   7.7329,  11.0961
194804,   1.2901,   2.8521,   4.6936,   2.2742,   4.3714,   7.1082
194805,   9.3487,   8.6520,   7.4840,   8.5319,   6.4887,   7.8488
194806,  -2.8715,  -1.5719,   0.4793,  -0.6267,   0.3140,   1.7024
194807,  -5.0540,  -5.2730,  -5.4885,  -5.0143,  -5.3080,  -4.3639
194808,  -1.2218,  -0.5946,  -0.3453,   0.8772,  -0.2083,   0.5727
194809,  -2.9930,  -4.2361,  -5.5319,  -2.7440,  -2.4533,  -3.7480
194810,   4.0663,   4.6534,   5.3933,   6.4330,   5.8477,   6.2679
194811,  -9.7141,  -9.7693, -12.9649,  -8.3959,  -8.7626, -13.4466
194812,   1.3549,  -0.0168,   0.1041,   4.9416,   2.7548,   2.2911
194901,   1.2360,   1.7426,   2.9760,   0.5636,  -1.0699,   1.3242
194902,  -5.4087,  -3.8630,  -5.6183,  -2.4873,  -2.7384,  -4.0524
194903,   6.4098,   5.5417,   8.2132,   4.2392,   3.4230,   5.0549
194904,  -1.6771,  -3.0568,  -3.3768,  -2.0767,  -0.6625,  -2.6201
194905,  -3.8553,  -3.7355,  -5.1369,  -1.8894,  -3.1136,  -5.3824
194906,  -1.3797,  -1.1758,  -1.1177,   1.1140,   0.2449,  -2.4518
194907,   6.5036,   7.2100,   5.7431,   5.2455,   5.7591,   6.7930
194908,   3.2664,   3.5375,   1.9547,   2.7140,   2.7740,   2.8538
194909,   5.4263,   4.1830,   4.1666,   2.6500,   3.6123,   4.3629
194910,   5.0879,   3.4831,   4.0980,   3.2666,   3.0462,   3.2686
194911,   0.4619,   1.0043,   0.2029,   2.9435,   0.1412,   1.4005
194912,   6.9542,   6.5529,   8.8106,   5.3362,   3.8029,   6.9490
195001,   7.2353,   4.6096,   4.7005,   0.8641,   1.9505,   3.6973
195002,   1.6398,   1.9763,   0.5672,   1.5689,   1.4760,   1.0674
195003,   2.4262,  -1.1220,  -1.9727,   1.9209,   0.9314,   0.7551
195004,   5.8185,   5.3616,   7.5064,   4.3502,   3.0151,   5.3261
195005,   1.6110,   2.7977,   3.0334,   4.6373,   5.0482,   4.1455
195006,  -7.0893,  -7.8905,  -9.1003,  -5.4535,  -6.3675,  -5.0161
195007,   0.7578,   3.4082,  11.5659,  -3.4707,   4.4731,  13.0953
195008,   4.3649,   5.5500,   5.1254,   6.0850,   4.1506,   2.5836
195009,   6.0137,   4.9132,   5.0281,   5.7853,   3.8328,   4.5622
195010,  -0.4631,  -0.2401,   0.0690,  -0.1759,  -0.5036,   2.0190
195011,   0.3940,   2.0855,   4.8664,   2.3395,   3.4248,   4.2390
195012,   5.2478,   7.3870,  12.5626,   3.3560,   6.6713,  10.5899
195101,   6.6023,   7.0184,  10.6498,   5.1634,   5.4114,   8.6861
195102,   1.6273,   1.3077,  -0.0477,   2.2425,   1.8708,  -1.6558
195103,  -1.4236,  -3.2729,  -5.6857,  -0.7158,  -2.6985,  -4.9784
195104,   2.2402,   3.7996,   6.3858,   4.4177,   5.6734,   6.7872
195105,  -1.8490,  -2.5975,  -3.4954,  -2.3456,  -1.8334,  -3.5315
195106,  -3.9263,  -4.7921,  -7.2689,  -2.2005,  -1.0781,  -6.8166
195107,   5.3423,   5.0826,   6.6166,   6.7122,   7.0471,   9.4439
195108,   5.9829,   5.3992,   4.9610,   4.2366,   4.3327,   4.9224
195109,   2.3562,   2.8746,   2.7764,   0.5823,   0.4341,   1.4004
195110,  -2.0349,  -1.6174,  -3.4192,  -3.8022,  -0.5082,  -2.0565
195111,   0.4588,   0.4421,   0.3429,   0.7901,   0.6886,   0.7533
195112,   1.1452,   0.9521,   0.6857,   4.2582,   3.6144,   1.6210
195201,   1.6917,   1.7977,   1.3001,   0.4234,   2.5347,   3.7746
195202,  -2.0064,  -1.9791,  -1.9498,  -2.1832,  -2.8173,  -3.4862
195203,   1.2063,   2.2878,   3.4195,   4.3741,   4.8364,   6.6239
195204,  -4.8106,  -4.8376,  -4.0038,  -4.6551,  -4.9312,  -5.5278
195205,   2.3145,   2.0797,   2.6860,   3.7919,   2.8353,   3.4591
195206,   1.6633,   2.8718,   3.3681,   3.9071,   4.1916,   4.6821
195207,   0.9719,   1.5582,  -0.1708,   1.1602,   0.7794,   1.6611
195208,   0.0305,   0.9561,   0.3016,  -0.8904,  -0.2839,  -0.9747
195209,   0.1657,  -0.8292,  -2.1209,  -1.8295,  -1.8554,  -2.3841
195210,  -0.7404,  -1.6217,  -1.9806,  -0.5755,  -0.2476,  -0.4277
195211,   5.5141,   5.6034,   6.0728,   6.2137,   5.4563,   7.6920
195212,   1.9093,   1.7291,   1.7248,   3.1456,   3.0327,   3.7137
195301,   3.7920,   3.5491,   3.8294,  -0.9687,  -0.0407,   1.5487
195302,   1.3244,   2.3139,   1.8288,  -0.1994,  -0.1726,  -0.8067
195303,  -1.7443,  -1.7565,  -2.0104,  -1.1750,  -1.1351,  -2.5814
195304,  -3.0896,  -2.3119,  -1.1389,  -3.0063,  -2.4693,  -1.8563
195305,   0.7048,   0.9122,   0.7182,   0.8497,   0.3060,   1.3392
195306,  -3.2411,  -3.3262,  -3.9993,  -1.6149,  -1.4286,  -1.8499
195307,   0.8845,   1.5194,   1.4679,   2.9823,   2.1197,   1.8937
195308,  -3.2989,  -5.3061,  -6.3057,  -4.0110,  -3.9511,  -8.0486
195309,   0.0388,  -0.8465,  -2.2839,   0.9000,   0.1935,  -1.6498
195310,   3.1414,   3.6652,   3.1846,   5.0820,   4.3314,   4.6587
195311,   1.5305,   2.1947,   1.2851,   3.3669,   2.2276,   3.3186
195312,   0.2561,  -1.2758,  -2.7507,   0.5275,   0.3620,  -2.1220
